"","trinkgruppe","einkommensgruppe","altersgruppe","sex","beverage_type","avg_wert_pro_stdd_w","ci_low_wert_pro_stdd_w","ci_high_wert_pro_stdd_w","n_haushalte"
"117","riskant","hoch","60+","Female","sprit",0.523961789466304,0.459332516855808,0.588591062076799,140
"118","hochriskant","mittel","18-34","Male","bier",0.461267185793716,0.383795399764406,0.538738971823026,12
"119","hochriskant","mittel","18-34","Female","bier",0.416534588223269,0.330426811567852,0.502642364878685,11
"120","hochriskant","mittel","35-59","Male","bier",0.337088663954109,0.297564705589135,0.376612622319084,20
"121","hochriskant","mittel","35-59","Male","wein",0.398317392449203,0.286564556018104,0.510070228880302,18
"122","hochriskant","mittel","35-59","Female","bier",0.428928835836924,0.316506996407138,0.54135067526671,18
"123","hochriskant","mittel","35-59","Female","wein",0.374292979802657,0.299031560197021,0.449554399408293,22
"124","hochriskant","mittel","60+","Male","bier",0.375011761327202,0.328423763331554,0.42159975932285,43
"125","hochriskant","mittel","60+","Male","wein",0.569209173328026,0.452220891034302,0.686197455621749,40
"126","hochriskant","mittel","60+","Male","sprit",0.457105933765515,0.395246927792716,0.518964939738313,37
"127","hochriskant","mittel","60+","Female","bier",0.334075406528079,0.269415929478294,0.398734883577864,22
"128","hochriskant","mittel","60+","Female","wein",0.592036524137478,0.440243042666627,0.743830005608328,20
"129","hochriskant","mittel","60+","Female","sprit",0.441840554456081,0.357122504027359,0.526558604884804,20
"130","hochriskant","hoch","18-34","Male","bier",0.443254065298258,0.375688106941896,0.51082002365462,20
"131","hochriskant","hoch","18-34","Male","wein",0.55666981566378,0.419739308934265,0.693600322393295,17
"132","hochriskant","hoch","18-34","Male","sprit",0.572668163814696,0.391126996502787,0.754209331126605,14
"133","hochriskant","hoch","18-34","Female","bier",0.647282523198193,0.264198840271849,1.03036620612454,14
"134","hochriskant","hoch","18-34","Female","wein",0.542470500283872,0.435111778857725,0.649829221710019,16
"135","hochriskant","hoch","18-34","Female","sprit",0.560191188799886,0.379084960493127,0.741297417106645,15
"136","hochriskant","hoch","35-59","Male","bier",0.410846061307245,0.340460437690469,0.481231684924021,33
"137","hochriskant","hoch","35-59","Male","wein",0.565119427886817,0.455220486084135,0.675018369689499,34
"138","hochriskant","hoch","35-59","Male","sprit",0.536528966714674,0.402128548128982,0.670929385300367,24
"139","hochriskant","hoch","35-59","Female","bier",0.410668572618203,0.312201551447577,0.50913559378883,21
"140","hochriskant","hoch","35-59","Female","wein",0.499004533893808,0.414223473151253,0.583785594636364,25
"141","hochriskant","hoch","35-59","Female","sprit",0.523357154063045,0.351228300535008,0.695486007591082,19
"142","hochriskant","hoch","60+","Male","bier",0.408758076015041,0.356132588801815,0.461383563228267,32
"143","hochriskant","hoch","60+","Male","wein",0.609392934757552,0.53000185928563,0.688784010229474,39
"144","hochriskant","hoch","60+","Male","sprit",0.645062543596853,0.514513830184818,0.775611257008889,25
"145","hochriskant","hoch","60+","Female","bier",0.460516481199901,0.374718689679057,0.546314272720746,26
"146","hochriskant","hoch","60+","Female","wein",0.54746074237266,0.486024412954076,0.608897071791244,39
"147","hochriskant","hoch","60+","Female","sprit",0.676528816631912,0.507123291193841,0.845934342069983,21
"148","all","niedrig","all","all","misch",1.09309604881065,0.657834184317442,1.52835791330387,12
"149","all","mittel","all","all","misch",1.07564021337285,0.661922504451752,1.48935792229395,22
"150","all","hoch","all","all","misch",1.00563966792945,0.750147344904834,1.26113199095407,28
